,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Dublin,Dublin,GPE,0.04043127,0.73764600,en,5.30000000,4013170-1,2964574,X,53.33306000,-6.24889000,EUROPE,Ireland,NEU
Afghanistan,Afghanistan,GPE,-0.32981057,1.02071354,en,5.30000000,4000687-6,1149361,X,33.00000000,66.00000000,ASIA,Afghanistan,WCA
Calif.,Calif.,GPE,0.05429987,0.65780053,en,5.20000000,,-1,,,,,,
Kerala,Kerala,GPE,0.00961538,0.46153846,en,5.20000000,4030266-0,1267254,X,10.00000000,76.50000000,ASIA,India,SAS
Kansas,Kansas,GPE,0.05136534,0.66880148,en,5.20000000,4114131-3,4273857,X,38.50028900,-98.50063000,NORTH-AMERICA,United States,CNA
Morocco,Morocco,GPE,-0.37131410,0.72820513,en,5.20000000,4037680-1,2542007,X,32.00000000,-5.00000000,EUROPE-AFRICA,Morocco,MED
South Africa,South Africa,GPE,-0.04000000,0.25238095,en,5.00000000,4078012-0,953987,X,-29.00000000,24.00000000,AFRICA,South Africa,WSAF
Canada,Canada,GPE,0.26845455,0.83199134,en,5.00000000,4029456-0,6251999,X,60.10866900,-113.64257900,NORTH-AMERICA,Canada,NWN
the United States,the United States,GPE,0.15335170,0.79206459,en,4.95000000,,-1,,,,,,
UK,UK,GPE,0.21616677,1.30642136,en,4.90000000,,-1,,,,,,
Russia,Russia,GPE,-0.00825735,0.39494681,en,4.70000000,,-1,,,,,,
Nadma,Nadma,GPE,0.05797101,0.22826087,en,4.60000000,,-1,,,,,,
Goa,Goa,GPE,-0.02299331,0.12750836,en,4.60000000,4021394-8,1271156,X,15.50195000,73.91008900,ASIA,India,SAS
the Pacific Ocean,the Pacific Ocean,LOC,-0.09595960,0.96161616,en,4.50000000,,-1,,,,,,
Washington,Washington,GPE,-0.27125468,0.77602996,en,4.45000000,4118995-4,5815135,X,47.50012000,-120.50146900,NORTH-AMERICA,United States,WNA
Pakistan,Pakistan,GPE,0.00038740,0.69163223,en,4.40000000,4075812-6,1168579,X,30.00000000,70.00000000,ASIA,Pakistan,WCA
Romania,Romania,GPE,0.00484496,0.42635659,en,4.30000000,4288396-9,4560808,X,39.79341900,-79.04474900,NORTH-AMERICA,United States,ENA
Sri Lanka,Sri Lanka,GPE,0.09418605,0.94366925,en,4.30000000,4009696-8,1227603,X,7.00000000,81.00000000,INDIAN,Sri Lanka,BOB
South Korea,South Korea,GPE,0.09323725,0.54737620,en,4.10000000,4078029-6,1835841,X,37.00000000,127.50000000,ASIA,South Korea,EAS
Nigeria,Nigeria,GPE,0.00000000,0.01219512,en,4.10000000,4042300-1,2328926,X,10.00000000,8.00000000,AFRICA,Nigeria,WAF
Europe,Europe,LOC,-0.13844697,1.07809343,en,4.00000000,,-1,,,,,,
Pacific,Pacific,LOC,0.22420139,0.51763889,en,4.00000000,,-1,,,,,,
Argentina,Argentina,GPE,0.00023990,1.39320707,en,4.00000000,,-1,,,,,,
Queensland,Queensland,GPE,0.27027530,1.02752976,en,4.00000000,4103475-2,2152274,X,-20.00000000,145.00000000,OCEANIA,Australia,NAU
Ladakh,Ladakh,GPE,0.20754246,0.47752248,en,3.90000000,,-1,,,,,,
East,East,LOC,0.03603604,0.87387387,en,3.70000000,,-1,,,,,,
America,America,GPE,0.23873874,0.82625483,en,3.70000000,,-1,,,,,,
Dujiangyan,Dujiangyan,GPE,0.41523342,0.60933661,en,3.70000000,,-1,,,,,,
Uttar Pradesh,Uttar Pradesh,GPE,-0.05518018,0.38738739,en,3.70000000,,-1,,,,,,
Kanpur,Kanpur,GPE,0.03378378,0.19369369,en,3.70000000,4029504-7,1267995,X,26.44780000,80.34627000,ASIA,India,SAS
agriforest-crops,agriforest-crops,LOC,0.00000000,0.00000000,en,3.70000000,,-1,,,,,,
Hyderabad,Hyderabad,GPE,0.17229730,0.61734234,en,3.70000000,,-1,,,,,,
Ukraine,Ukraine,GPE,-0.00817701,0.55453343,en,3.60000000,4061496-7,690791,X,49.00000000,32.00000000,EUROPE,Ukraine,WCE
Colorado River,Colorado River,LOC,-0.20298574,0.65508021,en,3.40000000,,-1,,,,,,
Istanbul,Istanbul,GPE,0.23109244,0.38865546,en,3.40000000,4027821-9,745044,X,41.01361100,28.94944400,EUROPE-AFRICA,Turkey,MED
Thailand,Thailand,GPE,-0.54406378,1.49407455,en,3.40000000,4078228-1,1605651,X,15.00000000,100.00000000,ASIA,Thailand,SEA
